num_of_run|moves_in_game|end|time
769|65|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:09.275090
770|53|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:09.748931
771|43|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:10.121464
772|96|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:10.946754
773|47|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:11.323975
774|104|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:12.193134
775|44|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:12.570840
776|68|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:13.194469
777|71|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:13.793020
778|83|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:14.530112
779|47|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:14.909992
780|86|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:15.600751
781|91|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:16.325892
782|120|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:17.336279
783|67|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:17.898767
784|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:18.364225
785|42|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:18.781406
786|79|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:19.439964
787|56|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:19.883421
788|59|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:20.427316
789|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:20.922267
790|70|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:21.490495
791|81|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:22.197375
792|78|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:22.832423
793|78|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:23.464257
794|61|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:23.976654
795|64|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:24.489544
796|72|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:25.148681
797|62|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:25.656009
798|79|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:26.285918
799|67|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:26.841011
800|83|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:27.500065
801|66|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:28.061066
802|47|[1, 1, 1, 0, 0, 0]|2020-05-23 16:41:28.464421
803|86|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:29.109695
804|67|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:29.639762
805|53|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:30.155300
806|86|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:30.848992
807|51|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:31.281816
808|107|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:32.111369
809|105|[1, 1, 0, 0, 0, 0]|2020-05-23 16:41:32.926850
810|62|[1, 1, 0, 0, 0, 0]|2020-05-23 16:41:33.418458
811|107|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:34.309143
812|92|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:35.029226
813|54|[1, 1, 1, 0, 0, 0]|2020-05-23 16:41:35.537921
814|58|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:36.007587
815|113|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:36.914868
816|65|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:37.501586
817|55|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:38.093733
818|95|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:38.787107
819|55|[1, 1, 1, 0, 0, 0]|2020-05-23 16:41:39.231875
820|63|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:39.757983
821|99|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:40.524065
822|63|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:41.031613
823|104|[1, 1, 0, 0, 0, 0]|2020-05-23 16:41:41.857521
824|73|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:42.442318
825|59|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:42.962776
826|95|[1, 1, 1, 0, 0, 0]|2020-05-23 16:41:43.741140
827|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:44.252206
828|92|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:45.023971
829|123|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:46.024112
830|47|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:46.392836
831|37|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:46.684808
832|63|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:47.221590
833|51|[1, 1, 0, 0, 0, 0]|2020-05-23 16:41:47.650068
834|125|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:48.602318
835|40|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:48.956598
836|103|[0, 0, 0, 1, 1, 1]|2020-05-23 16:41:49.845364
837|46|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:50.209940
838|94|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:50.934032
839|67|[1, 1, 0, 0, 0, 0]|2020-05-23 16:41:51.477711
840|52|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:51.939374
841|67|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:52.514133
842|141|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:53.655867
843|83|[1, 1, 1, 0, 0, 0]|2020-05-23 16:41:54.350740
844|72|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:54.944130
845|64|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:55.468341
846|73|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:56.100697
847|115|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:56.961818
848|67|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:57.477432
849|77|[0, 0, 0, 1, 0, 0]|2020-05-23 16:41:58.127176
850|85|[0, 0, 0, 1, 1, 0]|2020-05-23 16:41:58.807115
851|93|[1, 0, 0, 0, 0, 0]|2020-05-23 16:41:59.676101
852|93|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:00.714821
853|96|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:01.841329
854|65|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:02.431885
855|69|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:03.590802
856|99|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:05.474500
857|64|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:06.129887
858|72|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:06.842812
859|74|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:07.590589
860|100|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:08.543776
861|69|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:09.169911
862|78|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:09.945396
863|93|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:10.745116
864|116|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:11.739211
865|39|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:12.133522
866|73|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:13.809486
867|89|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:15.259818
868|90|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:16.803074
869|53|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:18.626540
870|62|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:19.532033
871|98|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:20.848460
872|71|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:21.707132
873|55|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:22.306623
874|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:23.047746
875|55|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:23.639232
876|47|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:24.177148
877|90|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:25.099061
878|77|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:25.898238
879|64|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:26.623347
880|58|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:27.202291
881|58|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:27.808588
882|73|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:28.571103
883|64|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:29.263736
884|79|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:30.054298
885|116|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:31.206157
886|101|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:32.212434
887|68|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:32.981849
888|52|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:33.605823
889|109|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:34.714492
890|57|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:35.329421
891|118|[1, 1, 1, 0, 0, 0]|2020-05-23 16:42:36.574122
892|61|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:37.261065
893|66|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:38.030985
894|70|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:38.804350
895|71|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:39.500137
896|75|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:40.316394
897|56|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:40.949928
898|110|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:42.035905
899|46|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:42.500119
900|89|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:43.389163
901|65|[0, 0, 0, 1, 1, 0]|2020-05-23 16:42:44.094236
902|61|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:44.738207
903|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:45.359340
904|73|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:46.078250
905|56|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:46.636697
906|86|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:47.512242
907|63|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:48.203991
908|61|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:48.842794
909|40|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:49.277199
910|58|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:49.940146
911|66|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:50.640191
912|54|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:51.237020
913|77|[1, 1, 1, 0, 0, 0]|2020-05-23 16:42:52.045499
914|98|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:53.099013
915|56|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:53.691307
916|69|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:54.436065
917|78|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:55.233485
918|71|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:55.943942
919|57|[0, 0, 0, 1, 0, 0]|2020-05-23 16:42:56.545672
920|84|[1, 0, 0, 0, 0, 0]|2020-05-23 16:42:57.486512
921|50|[1, 1, 0, 0, 0, 0]|2020-05-23 16:42:58.512332
922|51|[0, 0, 0, 1, 1, 1]|2020-05-23 16:42:59.381282
923|58|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:00.046615
924|63|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:00.734372
925|47|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:01.274967
926|71|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:01.996316
927|52|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:02.546995
928|78|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:03.382796
929|57|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:03.991698
930|59|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:04.575202
931|82|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:05.470571
932|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:06.084457
933|71|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:06.827161
934|83|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:07.772654
935|97|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:08.836940
936|88|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:09.859031
937|88|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:10.957268
938|114|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:12.177894
939|122|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:13.482424
940|83|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:14.319602
941|95|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:15.250146
942|69|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:15.897440
943|48|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:16.460763
944|59|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:17.061590
945|133|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:18.438528
946|72|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:19.235846
947|54|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:19.794293
948|67|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:20.535311
949|121|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:21.790599
950|78|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:22.579369
951|153|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:24.043048
952|61|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:24.656720
953|75|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:25.417287
954|166|[0, 0, 0, 1, 1, 1]|2020-05-23 16:43:27.109802
955|67|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:27.811531
956|60|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:28.451227
957|73|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:29.262274
958|58|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:30.153425
959|66|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:31.472954
960|47|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:32.135071
961|57|[0, 0, 0, 1, 1, 1]|2020-05-23 16:43:34.983015
962|84|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:35.872030
963|91|[0, 0, 0, 1, 1, 1]|2020-05-23 16:43:36.816582
964|77|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:37.676694
965|88|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:38.691179
966|69|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:40.834089
967|73|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:43.236401
968|37|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:43.823345
969|89|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:44.892523
970|48|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:45.729322
971|45|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:46.129710
972|48|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:46.501359
973|43|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:46.917830
974|107|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:47.925178
975|68|[1, 1, 1, 0, 0, 0]|2020-05-23 16:43:48.491043
976|70|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:49.091359
977|86|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:49.858231
978|67|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:50.417626
979|48|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:50.829639
980|61|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:51.349395
981|89|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:52.190194
982|84|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:52.960637
983|92|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:53.817119
984|77|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:54.525891
985|68|[0, 0, 0, 1, 1, 0]|2020-05-23 16:43:55.104363
986|81|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:55.789179
987|82|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:56.490686
988|76|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:57.095794
989|134|[1, 1, 0, 0, 0, 0]|2020-05-23 16:43:58.261510
990|64|[1, 0, 0, 0, 0, 0]|2020-05-23 16:43:58.774001
991|124|[0, 0, 0, 1, 0, 0]|2020-05-23 16:43:59.736784
992|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:00.226324
993|48|[0, 0, 0, 1, 1, 1]|2020-05-23 16:44:00.593506
994|90|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:01.377231
995|47|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:01.753285
996|52|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:02.182068
997|37|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:02.508670
998|83|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:03.176160
999|71|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:03.806833
1000|51|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:04.237149
1001|61|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:04.704089
1002|60|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:05.234383
1003|92|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:05.959182
1004|84|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:06.673044
1005|99|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:07.457139
1006|120|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:08.490136
1007|61|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:09.016848
1008|161|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:10.381407
1009|90|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:11.089918
1010|123|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:12.550670
1011|60|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:13.112105
1012|76|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:13.746878
1013|94|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:14.481661
1014|107|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:15.338484
1015|72|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:15.888916
1016|144|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:17.093012
1017|89|[0, 0, 0, 1, 1, 1]|2020-05-23 16:44:17.900923
1018|47|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:18.441467
1019|81|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:19.380967
1020|82|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:20.334082
1021|101|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:22.136263
1022|70|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:22.795398
1023|43|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:23.168312
1024|126|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:24.511820
1025|94|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:25.459882
1026|71|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:26.192111
1027|113|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:27.238634
1028|85|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:28.441429
1029|74|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:29.310515
1030|76|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:30.310942
1031|61|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:30.887234
1032|97|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:31.818241
1033|59|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:32.428243
1034|80|[0, 0, 0, 1, 1, 1]|2020-05-23 16:44:33.235458
1035|72|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:33.857227
1036|85|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:34.633327
1037|100|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:35.530180
1038|57|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:36.034722
1039|117|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:37.129357
1040|79|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:37.933779
1041|87|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:38.802922
1042|86|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:39.498507
1043|87|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:40.213591
1044|78|[0, 0, 0, 1, 1, 1]|2020-05-23 16:44:40.912025
1045|70|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:41.523402
1046|73|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:42.177530
1047|73|[0, 0, 0, 1, 1, 1]|2020-05-23 16:44:42.802394
1048|159|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:44.305438
1049|57|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:44.823520
1050|52|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:45.362996
1051|85|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:46.094430
1052|69|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:46.702040
1053|90|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:47.527564
1054|80|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:48.186792
1055|63|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:48.742289
1056|55|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:49.226790
1057|75|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:49.887942
1058|41|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:50.288909
1059|119|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:51.409297
1060|80|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:52.068436
1061|46|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:52.494948
1062|69|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:53.187160
1063|70|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:53.792636
1064|43|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:54.200469
1065|54|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:54.744730
1066|68|[1, 0, 0, 0, 0, 0]|2020-05-23 16:44:55.327356
1067|62|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:55.855977
1068|109|[1, 1, 0, 0, 0, 0]|2020-05-23 16:44:56.874315
1069|72|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:57.489709
1070|59|[1, 1, 1, 0, 0, 0]|2020-05-23 16:44:58.189737
1071|68|[0, 0, 0, 1, 0, 0]|2020-05-23 16:44:58.879991
1072|75|[0, 0, 0, 1, 1, 0]|2020-05-23 16:44:59.626075
1073|53|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:00.120033
1074|123|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:01.199820
1075|107|[1, 1, 0, 0, 0, 0]|2020-05-23 16:45:02.261587
1076|44|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:02.689065
1077|70|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:03.360693
1078|45|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:03.771469
1079|68|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:04.563904
1080|81|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:05.338237
1081|99|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:06.208750
1082|65|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:06.976397
1083|82|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:07.818532
1084|116|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:09.057965
1085|69|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:09.716192
1086|82|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:10.406666
1087|134|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:11.492619
1088|96|[1, 1, 1, 0, 0, 0]|2020-05-23 16:45:12.246557
1089|79|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:12.875549
1090|74|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:13.635992
1091|103|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:14.487684
1092|153|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:15.737727
1093|66|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:16.303144
1094|82|[1, 1, 0, 0, 0, 0]|2020-05-23 16:45:16.992190
1095|43|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:17.405900
1096|113|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:18.386438
1097|49|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:18.870795
1098|67|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:19.417845
1099|56|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:19.933359
1100|112|[0, 0, 0, 1, 1, 1]|2020-05-23 16:45:20.832508
1101|135|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:22.046921
1102|51|[1, 1, 1, 0, 0, 0]|2020-05-23 16:45:22.487769
1103|86|[0, 0, 0, 1, 1, 1]|2020-05-23 16:45:23.222686
1104|70|[1, 1, 0, 0, 0, 0]|2020-05-23 16:45:23.854589
1105|69|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:24.494507
1106|65|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:25.022348
1107|97|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:25.856946
1108|77|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:26.562607
1109|84|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:27.356199
1110|89|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:28.127825
1111|134|[0, 0, 0, 1, 1, 1]|2020-05-23 16:45:29.292711
1112|99|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:30.158243
1113|69|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:31.015586
1114|65|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:31.680443
1115|45|[1, 0, 0, 0, 0, 0]|2020-05-23 16:45:32.091489
1116|58|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:32.725424
1117|49|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:33.158608
1118|71|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:33.776532
1119|60|[1, 1, 0, 0, 0, 0]|2020-05-23 16:45:34.268278
1120|73|[0, 0, 0, 1, 0, 0]|2020-05-23 16:45:34.906443
1121|42|[0, 0, 0, 1, 1, 1]|2020-05-23 16:45:35.284628
1122|62|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:35.843831
1123|73|[0, 0, 0, 1, 1, 0]|2020-05-23 16:45:36.574839
