num_of_run|moves_in_game|end|time
81|346|[0, 0, 0, 1, 1, 0]|2020-05-23 14:10:51.866378
82|87|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:52.650140
83|61|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:53.168039
84|107|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:54.103057
85|131|[1, 1, 1, 0, 0, 0]|2020-05-23 14:10:55.351602
86|141|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:56.698698
87|58|[0, 0, 0, 1, 0, 0]|2020-05-23 14:10:57.185713
88|75|[1, 1, 0, 0, 0, 0]|2020-05-23 14:10:57.814806
89|78|[0, 0, 0, 1, 0, 0]|2020-05-23 14:10:58.494145
90|258|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:01.092924
91|66|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:01.694466
92|145|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:03.081205
93|128|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:04.504877
94|120|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:05.644591
95|65|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:06.351996
96|83|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:07.122282
97|57|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:07.647126
98|98|[1, 1, 0, 0, 0, 0]|2020-05-23 14:11:08.544432
99|157|[1, 1, 0, 0, 0, 0]|2020-05-23 14:11:09.847077
100|101|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:10.741763
101|81|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:11.577790
102|45|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:11.950276
103|102|[1, 1, 1, 0, 0, 0]|2020-05-23 14:11:12.899341
104|58|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:13.479426
105|355|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:16.880471
106|481|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:22.009415
107|176|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:23.905047
108|103|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:24.861639
109|59|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:25.346609
110|144|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:26.648048
111|133|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:27.906729
112|148|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:29.572899
113|152|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:31.099637
114|93|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:31.904699
115|67|[0, 0, 0, 1, 0, 0]|2020-05-23 14:11:32.473419
116|80|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:33.237276
117|79|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:34.120206
118|127|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:35.412780
119|119|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:36.624249
120|37|[0, 0, 0, 1, 0, 0]|2020-05-23 14:11:36.942672
121|71|[0, 0, 0, 1, 0, 0]|2020-05-23 14:11:37.532551
122|160|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:38.864407
123|52|[0, 0, 0, 1, 0, 0]|2020-05-23 14:11:39.358935
124|60|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:39.863294
125|139|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:40.998480
126|66|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:41.575794
127|122|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:42.695676
128|91|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:43.474679
129|82|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:44.322847
130|101|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:45.306864
131|87|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:46.099075
132|218|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:48.220895
133|164|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:49.646572
134|236|[0, 0, 0, 1, 0, 0]|2020-05-23 14:11:51.783708
135|72|[1, 0, 0, 0, 0, 0]|2020-05-23 14:11:52.399707
136|133|[1, 1, 0, 0, 0, 0]|2020-05-23 14:11:53.531210
137|63|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:54.092755
138|56|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:54.590366
139|73|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:55.339400
140|100|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:56.238649
141|82|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:56.991160
142|58|[0, 0, 0, 1, 1, 0]|2020-05-23 14:11:57.466493
143|153|[0, 0, 0, 1, 1, 1]|2020-05-23 14:11:58.769444
144|151|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:00.152652
145|80|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:00.863877
146|115|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:01.889335
147|167|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:03.327837
148|80|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:04.134136
149|61|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:04.850504
150|157|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:06.198200
151|179|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:07.963171
152|164|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:09.666724
153|125|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:10.662031
154|148|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:11.862890
155|171|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:13.479933
156|91|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:14.365550
157|232|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:16.542127
158|117|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:17.629045
159|136|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:18.833057
160|61|[0, 0, 0, 1, 1, 1]|2020-05-23 14:12:19.404514
161|74|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:20.017912
162|56|[0, 0, 0, 1, 0, 0]|2020-05-23 14:12:20.568795
163|91|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:21.281505
164|43|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:21.644296
165|70|[1, 0, 0, 0, 0, 0]|2020-05-23 14:12:22.168943
166|112|[1, 1, 1, 0, 0, 0]|2020-05-23 14:12:23.315382
167|106|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:24.258846
168|46|[1, 1, 0, 0, 0, 0]|2020-05-23 14:12:24.658987
169|64|[0, 0, 0, 1, 1, 0]|2020-05-23 14:12:25.211239
